eName	eChr	eStart	eEnd	Sample	Source	Repeat_Class
chr22-26921677-26922319	chr22	26921677	26922319	MMC-seq	CircleSeeker	Other
chr17-1274641-1276242	chr17	1274641	1276242	MMC-seq	CircleSeeker	Other
chr14-67275790-67276360	chr14	67275790	67276360	MMC-seq	CircleSeeker	Other
chr5-28717867-28719176	chr5	28717867	28719176	MMC-seq	CircleSeeker	Other
chr5-152096636-152097804	chr5	152096636	152097804	MMC-seq	CircleSeeker	Other
chr10-119503693-119506502	chr10	119503693	119506502	MMC-seq	CircleSeeker	Other
chr1-195319577-195320937	chr1	195319577	195320937	MMC-seq	CircleSeeker	Other
chr10-72135891-72137125	chr10	72135891	72137125	MMC-seq	CircleSeeker	Other
chr12-57895818-57898914	chr12	57895818	57898914	MMC-seq	CircleSeeker	Other
chr9-134201687-134203213	chr9	134201687	134203213	MMC-seq	CircleSeeker	Other
chr4-24115955-24118345	chr4	24115955	24118345	MMC-seq	CircleSeeker	Other
chr10-103107934-103111270	chr10	103107934	103111270	MMC-seq	CircleSeeker	Other
chr7-4825887-4827044	chr7	4825887	4827044	MMC-seq	CircleSeeker	Other
chr21-40532686-40533267	chr21	40532686	40533267	MMC-seq	CircleSeeker	Other
chr2-67648364-67650528	chr2	67648364	67650528	MMC-seq	CircleSeeker	Other
chr8-119352067-119353509	chr8	119352067	119353509	MMC-seq	CircleSeeker	Other
chr4-77650261-77651208	chr4	77650261	77651208	MMC-seq	CircleSeeker	Other
chr1-218532685-218533250	chr1	218532685	218533250	MMC-seq	CircleSeeker	Other
chr5-161872712-161874454	chr5	161872712	161874454	MMC-seq	CircleSeeker	Other
chr11-20596450-20596838	chr11	20596450	20596838	MMC-seq	CircleSeeker	Other
chr9-9198239-9199645	chr9	9198239	9199645	MMC-seq	CircleSeeker	Other
chr1-246941576-246942294	chr1	246941576	246942294	MMC-seq	CircleSeeker	Other
chr13-33247795-33249635	chr13	33247795	33249635	MMC-seq	CircleSeeker	Other
chr11-122776835-122778391	chr11	122776835	122778391	MMC-seq	CircleSeeker	Other
chr3-11117858-11118794	chr3	11117858	11118794	MMC-seq	CircleSeeker	Other
chr13-35819327-35820587	chr13	35819327	35820587	MMC-seq	CircleSeeker	Other
chr5-62962703-62963724	chr5	62962703	62963724	MMC-seq	CircleSeeker	Other
chr15-64885480-64888062	chr15	64885480	64888062	MMC-seq	CircleSeeker	Other
chr9-104343997-104345840	chr9	104343997	104345840	MMC-seq	CircleSeeker	Other
chr5-31387433-31388235	chr5	31387433	31388235	MMC-seq	CircleSeeker	Other
chr17-80964989-80966972	chr17	80964989	80966972	MMC-seq	CircleSeeker	Other
chr1-98309771-98311355	chr1	98309771	98311355	MMC-seq	CircleSeeker	Other
chr12-116439478-116440210	chr12	116439478	116440210	MMC-seq	CircleSeeker	Other
chr1-212620499-212623281	chr1	212620499	212623281	MMC-seq	CircleSeeker	Other
chr10-19113241-19114827	chr10	19113241	19114827	MMC-seq	CircleSeeker	Other
chr16-79373070-79373460	chr16	79373070	79373460	MMC-seq	CircleSeeker	Other
chr22-46815269-46817674	chr22	46815269	46817674	MMC-seq	CircleSeeker	Other
chr12-10407951-10409305	chr12	10407951	10409305	MMC-seq	CircleSeeker	Other
chr20-38804160-38805627	chr20	38804160	38805627	MMC-seq	CircleSeeker	Other
chr10-58961747-58962914	chr10	58961747	58962914	MMC-seq	CircleSeeker	Other
chr1-144659081-144661391	chr1	144659081	144661391	MMC-seq	CircleSeeker	Other
chr5-16140534-16143013	chr5	16140534	16143013	MMC-seq	CircleSeeker	Other
chr15-61610925-61614178	chr15	61610925	61614178	MMC-seq	CircleSeeker	Other
chr3-188831446-188833036	chr3	188831446	188833036	MMC-seq	CircleSeeker	Other
chr9-120833941-120834290	chr9	120833941	120834290	MMC-seq	CircleSeeker	Other
chr5-141386695-141387317	chr5	141386695	141387317	MMC-seq	CircleSeeker	Other
chr5-57750884-57753307	chr5	57750884	57753307	MMC-seq	CircleSeeker	Other
chr4-148534347-148534811	chr4	148534347	148534811	MMC-seq	CircleSeeker	Other
chr15-77453698-77454370	chr15	77453698	77454370	MMC-seq	CircleSeeker	Other
chr16-19841696-19843535	chr16	19841696	19843535	MMC-seq	CircleSeeker	Other
chr5-81571517-81573641	chr5	81571517	81573641	MMC-seq	CircleSeeker	Other
chr9-33984239-33984636	chr9	33984239	33984636	MMC-seq	CircleSeeker	Other
chr1-116602095-116602915	chr1	116602095	116602915	MMC-seq	CircleSeeker	Other
chr9-85156552-85157495	chr9	85156552	85157495	MMC-seq	CircleSeeker	Other
chr11-9235140-9236550	chr11	9235140	9236550	MMC-seq	CircleSeeker	Other
chr5-17245714-17246687	chr5	17245714	17246687	MMC-seq	CircleSeeker	Other
chr13-47414813-47419589	chr13	47414813	47419589	MMC-seq	CircleSeeker	Other
chr10-127042659-127044546	chr10	127042659	127044546	MMC-seq	CircleSeeker	Other
chr22-32907491-32908454	chr22	32907491	32908454	MMC-seq	CircleSeeker	Other
chr21-27501991-27502975	chr21	27501991	27502975	MMC-seq	CircleSeeker	Other
chr12-12201506-12202722	chr12	12201506	12202722	MMC-seq	CircleSeeker	Other
chr16-19140467-19142767	chr16	19140467	19142767	MMC-seq	CircleSeeker	Other
chr10-1710022-1710613	chr10	1710022	1710613	MMC-seq	CircleSeeker	Other
chr17-51234373-51236623	chr17	51234373	51236623	MMC-seq	CircleSeeker	Other
chr15-87444589-87445892	chr15	87444589	87445892	MMC-seq	CircleSeeker	Other
chr11-120720335-120723644	chr11	120720335	120723644	MMC-seq	CircleSeeker	Other
chr5-173322729-173324291	chr5	173322729	173324291	MMC-seq	CircleSeeker	Other
chr16-503868-504984	chr16	503868	504984	MMC-seq	CircleSeeker	Other
chr3-13076141-13076731	chr3	13076141	13076731	MMC-seq	CircleSeeker	Other
chr8-69992105-69992774	chr8	69992105	69992774	MMC-seq	CircleSeeker	Other
chr1-7801576-7803205	chr1	7801576	7803205	MMC-seq	CircleSeeker	Other
chr16-12792184-12793024	chr16	12792184	12793024	MMC-seq	CircleSeeker	Other
chr9-116293382-116296973	chr9	116293382	116296973	MMC-seq	CircleSeeker	Other
chr8-116567300-116567991	chr8	116567300	116567991	MMC-seq	CircleSeeker	Other
chr9-118160960-118162262	chr9	118160960	118162262	MMC-seq	CircleSeeker	Other
chr19-61419415-61421547	chr19	61419415	61421547	MMC-seq	CircleSeeker	Other
chr5-19720896-19723892	chr5	19720896	19723892	MMC-seq	CircleSeeker	Other
chr19-16852406-16853712	chr19	16852406	16853712	MMC-seq	CircleSeeker	Other
chr11-96947528-96948584	chr11	96947528	96948584	MMC-seq	CircleSeeker	Other
chr6-43858952-43862135	chr6	43858952	43862135	MMC-seq	CircleSeeker	Other
chr12-131914158-131915794	chr12	131914158	131915794	MMC-seq	CircleSeeker	Other
chr3-149817371-149819922	chr3	149817371	149819922	MMC-seq	CircleSeeker	Other
chr20-47638230-47639589	chr20	47638230	47639589	MMC-seq	CircleSeeker	Other
chr17-32768838-32769938	chr17	32768838	32769938	MMC-seq	CircleSeeker	Other
chr5-19015020-19016708	chr5	19015020	19016708	MMC-seq	CircleSeeker	Other
chr8-74133390-74134887	chr8	74133390	74134887	MMC-seq	CircleSeeker	Other
chr2-129628126-129631880	chr2	129628126	129631880	MMC-seq	CircleSeeker	Other
chr9-29942835-29943712	chr9	29942835	29943712	MMC-seq	CircleSeeker	Other
chr6-26174616-26175254	chr6	26174616	26175254	MMC-seq	CircleSeeker	Other
chr14-54302361-54303609	chr14	54302361	54303609	MMC-seq	CircleSeeker	Other
chr5-63250991-63251519	chr5	63250991	63251519	MMC-seq	CircleSeeker	Other
chr14-18624606-18628669	chr14	18624606	18628669	MMC-seq	CircleSeeker	Other
chr7-103911733-103912494	chr7	103911733	103912494	MMC-seq	CircleSeeker	Other
chr20-18150772-18152704	chr20	18150772	18152704	MMC-seq	CircleSeeker	Other
chr17-32734073-32734669	chr17	32734073	32734669	MMC-seq	CircleSeeker	Other
chr5-174321036-174322120	chr5	174321036	174322120	MMC-seq	CircleSeeker	Other
chr12-122734640-122738123	chr12	122734640	122738123	MMC-seq	CircleSeeker	Other
chr9-143512694-143513427	chr9	143512694	143513427	MMC-seq	CircleSeeker	Other
chr22-28055939-28056315	chr22	28055939	28056315	MMC-seq	CircleSeeker	Other
chr9-22953528-22954578	chr9	22953528	22954578	MMC-seq	CircleSeeker	Other
chr14-29176070-29176439	chr14	29176070	29176439	MMC-seq	CircleSeeker	Other
chr6-67737203-67739096	chr6	67737203	67739096	MMC-seq	CircleSeeker	Other
chr1-229485569-229486414	chr1	229485569	229486414	MMC-seq	CircleSeeker	Other
chr5-143395427-143396438	chr5	143395427	143396438	MMC-seq	CircleSeeker	Other
chr12-10103380-10104380	chr12	10103380	10104380	MMC-seq	CircleSeeker	Other
chr5-994578-995502	chr5	994578	995502	MMC-seq	CircleSeeker	Other
chr4-116232511-116233416	chr4	116232511	116233416	MMC-seq	CircleSeeker	Other
chr6-141260359-141261117	chr6	141260359	141261117	MMC-seq	CircleSeeker	Other
chr9-103421596-103423923	chr9	103421596	103423923	MMC-seq	CircleSeeker	Other
chr16-24692900-24693859	chr16	24692900	24693859	MMC-seq	CircleSeeker	Other
chr8-52048797-52049508	chr8	52048797	52049508	MMC-seq	CircleSeeker	Other
chr4-178636173-178636954	chr4	178636173	178636954	MMC-seq	CircleSeeker	Other
chr3-125702028-125702373	chr3	125702028	125702373	MMC-seq	CircleSeeker	Other
chr13-18801993-18803384	chr13	18801993	18803384	MMC-seq	CircleSeeker	Other
chr5-10539767-10540770	chr5	10539767	10540770	MMC-seq	CircleSeeker	Other
chr6-79262000-79262985	chr6	79262000	79262985	MMC-seq	CircleSeeker	Other
chr7-50596743-50598363	chr7	50596743	50598363	MMC-seq	CircleSeeker	Other
chr1-16099088-16100742	chr1	16099088	16100742	MMC-seq	CircleSeeker	Other
chr6-61304661-61306289	chr6	61304661	61306289	MMC-seq	CircleSeeker	Other
chr1-45495795-45497841	chr1	45495795	45497841	MMC-seq	CircleSeeker	Other
chr15-42834999-42835926	chr15	42834999	42835926	MMC-seq	CircleSeeker	Other
chr9-91290210-91291662	chr9	91290210	91291662	MMC-seq	CircleSeeker	Other
chr19-50286273-50287821	chr19	50286273	50287821	MMC-seq	CircleSeeker	Other
chr3-191831915-191834958	chr3	191831915	191834958	MMC-seq	CircleSeeker	Other
chr22-18249228-18249847	chr22	18249228	18249847	MMC-seq	CircleSeeker	Other
chr16-22392841-22393857	chr16	22392841	22393857	MMC-seq	CircleSeeker	Other
chr2-237270939-237271697	chr2	237270939	237271697	MMC-seq	CircleSeeker	Other
chr17-73254104-73255240	chr17	73254104	73255240	MMC-seq	CircleSeeker	Other
chr1-107475178-107476391	chr1	107475178	107476391	MMC-seq	CircleSeeker	Other
chr9-100651359-100651888	chr9	100651359	100651888	MMC-seq	CircleSeeker	Other
chr3-186628265-186631559	chr3	186628265	186631559	MMC-seq	CircleSeeker	Other
chr4-120396435-120399419	chr4	120396435	120399419	MMC-seq	CircleSeeker	Other
chr6-13182616-13184850	chr6	13182616	13184850	MMC-seq	CircleSeeker	Other
chr1-212196841-212198323	chr1	212196841	212198323	MMC-seq	CircleSeeker	Other
chr6-39847534-39848920	chr6	39847534	39848920	MMC-seq	CircleSeeker	Other
chr5-128735845-128736441	chr5	128735845	128736441	MMC-seq	CircleSeeker	Other
chr12-120843909-120844931	chr12	120843909	120844931	MMC-seq	CircleSeeker	Other
chr7-67309898-67311190	chr7	67309898	67311190	MMC-seq	CircleSeeker	Other
chr2-37359824-37361091	chr2	37359824	37361091	MMC-seq	CircleSeeker	Other
chr7-93437957-93438438	chr7	93437957	93438438	MMC-seq	CircleSeeker	Other
chr7-5151134-5153990	chr7	5151134	5153990	MMC-seq	CircleSeeker	Other
chr11-79741037-79741630	chr11	79741037	79741630	MMC-seq	CircleSeeker	Other
chr8-118066623-118067154	chr8	118066623	118067154	MMC-seq	CircleSeeker	Other
chr16-67666293-67667505	chr16	67666293	67667505	MMC-seq	CircleSeeker	Other
chr6-17443027-17443743	chr6	17443027	17443743	MMC-seq	CircleSeeker	Other
