eName	eChr	eStart	eEnd	Sample	Source	Repeat_Class
chr12-95132372-95134419	chr12	95132372	95134419	MMC-seq	CircleSeeker	Other
chr10-33250060-33251299	chr10	33250060	33251299	MMC-seq	CircleSeeker	Other
chr5-180624125-180625237	chr5	180624125	180625237	MMC-seq	CircleSeeker	Other
chr8-71036702-71039535	chr8	71036702	71039535	MMC-seq	CircleSeeker	Other
chr10-77192031-77195419	chr10	77192031	77195419	MMC-seq	CircleSeeker	Other
chr6-67737203-67739096	chr6	67737203	67739096	MMC-seq	CircleSeeker	Other
chr1-115444866-115445931	chr1	115444866	115445931	MMC-seq	CircleSeeker	Other
chr6-144071888-144073577	chr6	144071888	144073577	MMC-seq	CircleSeeker	Direct-Repeat
chr12-70360135-70361918	chr12	70360135	70361918	MMC-seq	CircleSeeker	Both
chr3-131172088-131173209	chr3	131172088	131173209	MMC-seq	CircleSeeker	Other
chrX-24612030-24613273	chrX	24612030	24613273	MMC-seq	CircleSeeker	Other
chr13-36195729-36197656	chr13	36195729	36197656	MMC-seq	CircleSeeker	Inverted-Repeat
chr9-115976493-115978174	chr9	115976493	115978174	MMC-seq	CircleSeeker	Direct-Repeat
chr22-49089009-49089597	chr22	49089009	49089597	MMC-seq	CircleSeeker	Other
chr6-61304661-61306289	chr6	61304661	61306289	MMC-seq	CircleSeeker	Other
chr11-106263163-106263908	chr11	106263163	106263908	MMC-seq	CircleSeeker	Other
chr8-129026309-129027068	chr8	129026309	129027068	MMC-seq	CircleSeeker	Direct-Repeat
chr19-5997943-5999249	chr19	5997943	5999249	MMC-seq	CircleSeeker	Other
chr5-898134-899133	chr5	898134	899133	MMC-seq	CircleSeeker	Direct-Repeat
chr18-7359358-7360456	chr18	7359358	7360456	MMC-seq	CircleSeeker	Other
chr9-136818038-136820188	chr9	136818038	136820188	MMC-seq	CircleSeeker	Other
chr7-101356819-101357427	chr7	101356819	101357427	MMC-seq	CircleSeeker	Other
chr19-5181027-5181847	chr19	5181027	5181847	MMC-seq	CircleSeeker	Other
chr3-17772361-17772977	chr3	17772361	17772977	MMC-seq	CircleSeeker	Other
chr22-41909638-41910264	chr22	41909638	41910264	MMC-seq	CircleSeeker	Other
chr2-207567841-207568907	chr2	207567841	207568907	MMC-seq	CircleSeeker	Other
chr7-102130907-102131544	chr7	102130907	102131544	MMC-seq	CircleSeeker	Other
chr8-57953097-57953523	chr8	57953097	57953523	MMC-seq	CircleSeeker	Other
chr12-32465428-32466280	chr12	32465428	32466280	MMC-seq	CircleSeeker	Other
chr12-10407951-10409305	chr12	10407951	10409305	MMC-seq	CircleSeeker	Other
chrX-81263723-81264057	chrX	81263723	81264057	MMC-seq	CircleSeeker	Other
chr19-11070055-11070922	chr19	11070055	11070922	MMC-seq	CircleSeeker	Other
chr9-83047879-83051149	chr9	83047879	83051149	MMC-seq	CircleSeeker	Inverted-Repeat
chr3-162953588-162955538	chr3	162953588	162955538	MMC-seq	CircleSeeker	Other
chr6-157858715-157860036	chr6	157858715	157860036	MMC-seq	CircleSeeker	Other
chr16-94061171-94062388	chr16	94061171	94062388	MMC-seq	CircleSeeker	Other
chr3-186628265-186631559	chr3	186628265	186631559	MMC-seq	CircleSeeker	Other
chr15-64885480-64888062	chr15	64885480	64888062	MMC-seq	CircleSeeker	Other
chr5-19720896-19723892	chr5	19720896	19723892	MMC-seq	CircleSeeker	Other
chr20-54853957-54854663	chr20	54853957	54854663	MMC-seq	CircleSeeker	Other
chr19-61419415-61421547	chr19	61419415	61421547	MMC-seq	CircleSeeker	Other
chr19-1071039-1071726	chr19	1071039	1071726	MMC-seq	CircleSeeker	Other
chr12-49509650-49512002	chr12	49509650	49512002	MMC-seq	CircleSeeker	Other
chr5-40865157-40866520	chr5	40865157	40866520	MMC-seq	CircleSeeker	Other
chr15-73590481-73591909	chr15	73590481	73591909	MMC-seq	CircleSeeker	Other
chr1-142932972-142934375	chr1	142932972	142934375	MMC-seq	CircleSeeker	Other
chr5-31387433-31388235	chr5	31387433	31388235	MMC-seq	CircleSeeker	Other
chr4-44644186-44644875	chr4	44644186	44644875	MMC-seq	CircleSeeker	Other
chr11-65544857-65545655	chr11	65544857	65545655	MMC-seq	CircleSeeker	Other
chr7-121837922-121840100	chr7	121837922	121840100	MMC-seq	CircleSeeker	Other
chr8-49028559-49029709	chr8	49028559	49029709	MMC-seq	CircleSeeker	Other
chr14-58657189-58657855	chr14	58657189	58657855	MMC-seq	CircleSeeker	Other
chr10-68953604-68954145	chr10	68953604	68954145	MMC-seq	CircleSeeker	Other
chr6-1652349-1653519	chr6	1652349	1653519	MMC-seq	CircleSeeker	Other
chr6-333386-334030	chr6	333386	334030	MMC-seq	CircleSeeker	Other
chr17-7835582-7837652	chr17	7835582	7837652	MMC-seq	CircleSeeker	Other
chr3-13076141-13076731	chr3	13076141	13076731	MMC-seq	CircleSeeker	Other
chr5-128479515-128480181	chr5	128479515	128480181	MMC-seq	CircleSeeker	Other
chr6-137855961-137856479	chr6	137855961	137856479	MMC-seq	CircleSeeker	Other
chr2-223502889-223503786	chr2	223502889	223503786	MMC-seq	CircleSeeker	Other
chr14-56456537-56457334	chr14	56456537	56457334	MMC-seq	CircleSeeker	Other
chr11-19802269-19803465	chr11	19802269	19803465	MMC-seq	CircleSeeker	Inverted-Repeat
chr1-229485569-229486414	chr1	229485569	229486414	MMC-seq	CircleSeeker	Other
chr18-21796897-21798140	chr18	21796897	21798140	MMC-seq	CircleSeeker	Other
chr15-64844940-64845645	chr15	64844940	64845645	MMC-seq	CircleSeeker	Other
chr1-182005951-182006619	chr1	182005951	182006619	MMC-seq	CircleSeeker	Other
chr9-148822911-148824807	chr9	148822911	148824807	MMC-seq	CircleSeeker	Direct-Repeat
chr10-132877163-132878981	chr10	132877163	132878981	MMC-seq	CircleSeeker	Other
chr12-86531120-86532849	chr12	86531120	86532849	MMC-seq	CircleSeeker	Other
chr12-106190205-106191165	chr12	106190205	106191165	MMC-seq	CircleSeeker	Other
chr12-110373303-110375523	chr12	110373303	110375523	MMC-seq	CircleSeeker	Other
chr2-201053012-201057117	chr2	201053012	201057117	MMC-seq	CircleSeeker	Other
chr10-1710022-1710613	chr10	1710022	1710613	MMC-seq	CircleSeeker	Other
chr6-132224161-132227142	chr6	132224161	132227142	MMC-seq	CircleSeeker	Other
chr9-9198239-9199645	chr9	9198239	9199645	MMC-seq	CircleSeeker	Other
chr1-212620499-212623281	chr1	212620499	212623281	MMC-seq	CircleSeeker	Other
chr4-24115955-24118345	chr4	24115955	24118345	MMC-seq	CircleSeeker	Other
chr19-16463397-16464232	chr19	16463397	16464232	MMC-seq	CircleSeeker	Other
chr11-21661597-21662626	chr11	21661597	21662626	MMC-seq	CircleSeeker	Other
chr1-172028401-172029258	chr1	172028401	172029258	MMC-seq	CircleSeeker	Other
chr3-154423297-154425106	chr3	154423297	154425106	MMC-seq	CircleSeeker	Other
chr5-19015020-19016708	chr5	19015020	19016708	MMC-seq	CircleSeeker	Other
chr14-97925223-97926314	chr14	97925223	97926314	MMC-seq	CircleSeeker	Inverted-Repeat
chr7-150439287-150440697	chr7	150439287	150440697	MMC-seq	CircleSeeker	Other
chr1-162184853-162186805	chr1	162184853	162186805	MMC-seq	CircleSeeker	Other
chr10-14836460-14838168	chr10	14836460	14838168	MMC-seq	CircleSeeker	Direct-Repeat
chr13-112703396-112703769	chr13	112703396	112703769	MMC-seq	CircleSeeker	Other
chr16-24692900-24693859	chr16	24692900	24693859	MMC-seq	CircleSeeker	Other
chr8-74133390-74134887	chr8	74133390	74134887	MMC-seq	CircleSeeker	Other
chr5-141386695-141387317	chr5	141386695	141387317	MMC-seq	CircleSeeker	Other
chr21-36623652-36627708	chr21	36623652	36627708	MMC-seq	CircleSeeker	Other
chr6-135811219-135812274	chr6	135811219	135812274	MMC-seq	CircleSeeker	Direct-Repeat
chr15-61211140-61213087	chr15	61211140	61213087	MMC-seq	CircleSeeker	Other
chr10-31728730-31729064	chr10	31728730	31729064	MMC-seq	CircleSeeker	Direct-Repeat
chr3-141209625-141210845	chr3	141209625	141210845	MMC-seq	CircleSeeker	Direct-Repeat
chr5-128735845-128736441	chr5	128735845	128736441	MMC-seq	CircleSeeker	Other
chr1-6861751-6862993	chr1	6861751	6862993	MMC-seq	CircleSeeker	Other
chr1-246556552-246556905	chr1	246556552	246556905	MMC-seq	CircleSeeker	Other
chr1-16099088-16100742	chr1	16099088	16100742	MMC-seq	CircleSeeker	Other
chr2-121832123-121833113	chr2	121832123	121833113	MMC-seq	CircleSeeker	Direct-Repeat
chr9-100019378-100021000	chr9	100019378	100021000	MMC-seq	CircleSeeker	Other
chr22-26921677-26922319	chr22	26921677	26922319	MMC-seq	CircleSeeker	Other
chr12-102532476-102533504	chr12	102532476	102533504	MMC-seq	CircleSeeker	Other
chr19-53517663-53518404	chr19	53517663	53518404	MMC-seq	CircleSeeker	Other
chr10-131187154-131188106	chr10	131187154	131188106	MMC-seq	CircleSeeker	Other
chrX-80479699-80480569	chrX	80479699	80480569	MMC-seq	CircleSeeker	Other
chr3-10618791-10619932	chr3	10618791	10619932	MMC-seq	CircleSeeker	Other
chr12-31955511-31957962	chr12	31955511	31957962	MMC-seq	CircleSeeker	Other
chr5-134045185-134046358	chr5	134045185	134046358	MMC-seq	CircleSeeker	Both
chr18-28528678-28530278	chr18	28528678	28530278	MMC-seq	CircleSeeker	Other
chr8-70326782-70327532	chr8	70326782	70327532	MMC-seq	CircleSeeker	Other
chr5-59507131-59509282	chr5	59507131	59509282	MMC-seq	CircleSeeker	Other
chr15-87444589-87445892	chr15	87444589	87445892	MMC-seq	CircleSeeker	Other
chr17-63379887-63380523	chr17	63379887	63380523	MMC-seq	CircleSeeker	Direct-Repeat
chr6-141260359-141261117	chr6	141260359	141261117	MMC-seq	CircleSeeker	Other
chr5-64524943-64525946	chr5	64524943	64525946	MMC-seq	CircleSeeker	Other
chr6-5680144-5681338	chr6	5680144	5681338	MMC-seq	CircleSeeker	Other
chr18-36704914-36705655	chr18	36704914	36705655	MMC-seq	CircleSeeker	Other
chr1-85718668-85719508	chr1	85718668	85719508	MMC-seq	CircleSeeker	Other
chr10-99626567-99630043	chr10	99626567	99630043	MMC-seq	CircleSeeker	Inverted-Repeat
chr8-28220719-28222172	chr8	28220719	28222172	MMC-seq	CircleSeeker	Other
chr22-42144705-42147087	chr22	42144705	42147087	MMC-seq	CircleSeeker	Other
chr1-98175430-98178039	chr1	98175430	98178039	MMC-seq	CircleSeeker	Other
chr1-41710474-41711414	chr1	41710474	41711414	MMC-seq	CircleSeeker	Other
chr14-70360889-70361901	chr14	70360889	70361901	MMC-seq	CircleSeeker	Other
chr1-219858385-219860382	chr1	219858385	219860382	MMC-seq	CircleSeeker	Other
chr1-53918409-53919726	chr1	53918409	53919726	MMC-seq	CircleSeeker	Other
chr12-131914158-131915794	chr12	131914158	131915794	MMC-seq	CircleSeeker	Other
chr15-42834999-42835926	chr15	42834999	42835926	MMC-seq	CircleSeeker	Other
chr12-64951692-64955045	chr12	64951692	64955045	MMC-seq	CircleSeeker	Other
chr9-123853305-123854423	chr9	123853305	123854423	MMC-seq	CircleSeeker	Other
chr8-95746380-95746900	chr8	95746380	95746900	MMC-seq	CircleSeeker	Other
chr6-135149967-135153915	chr6	135149967	135153915	MMC-seq	CircleSeeker	Other
chr5-63222760-63224465	chr5	63222760	63224465	MMC-seq	CircleSeeker	Both
chrX-6912522-6914256	chrX	6912522	6914256	MMC-seq	CircleSeeker	Other
chr17-76677743-76678151	chr17	76677743	76678151	MMC-seq	CircleSeeker	Other
chr10-125549570-125550222	chr10	125549570	125550222	MMC-seq	CircleSeeker	Other
chr18-77201353-77202354	chr18	77201353	77202354	MMC-seq	CircleSeeker	Both
chr17-73254104-73255240	chr17	73254104	73255240	MMC-seq	CircleSeeker	Other
chr3-114432365-114433319	chr3	114432365	114433319	MMC-seq	CircleSeeker	Other
chr5-57750884-57753307	chr5	57750884	57753307	MMC-seq	CircleSeeker	Other
chr12-11739601-11740935	chr12	11739601	11740935	MMC-seq	CircleSeeker	Other
chr15-66984466-66985908	chr15	66984466	66985908	MMC-seq	CircleSeeker	Inverted-Repeat
chr6-13912444-13913023	chr6	13912444	13913023	MMC-seq	CircleSeeker	Other
chr11-125596772-125598259	chr11	125596772	125598259	MMC-seq	CircleSeeker	Other
chr5-148598383-148603854	chr5	148598383	148603854	MMC-seq	CircleSeeker	Other
chr15-41506558-41508351	chr15	41506558	41508351	MMC-seq	CircleSeeker	Other
chr18-11311951-11313421	chr18	11311951	11313421	MMC-seq	CircleSeeker	Other
chr12-1124207-1126004	chr12	1124207	1126004	MMC-seq	CircleSeeker	Other
chr11-33699083-33700264	chr11	33699083	33700264	MMC-seq	CircleSeeker	Other
chr1-43827893-43828604	chr1	43827893	43828604	MMC-seq	CircleSeeker	Other
chr1-28887745-28888186	chr1	28887745	28888186	MMC-seq	CircleSeeker	Other
chr3-56927938-56928638	chr3	56927938	56928638	MMC-seq	CircleSeeker	Other
chr12-92562867-92564145	chr12	92562867	92564145	MMC-seq	CircleSeeker	Other
chr11-72538574-72540204	chr11	72538574	72540204	MMC-seq	CircleSeeker	Both
chr19-5280859-5281300	chr19	5280859	5281300	MMC-seq	CircleSeeker	Other
chr4-26557886-26560500	chr4	26557886	26560500	MMC-seq	CircleSeeker	Other
chr16-86501626-86502838	chr16	86501626	86502838	MMC-seq	CircleSeeker	Other
chr22-4802129-4803185	chr22	4802129	4803185	MMC-seq	CircleSeeker	Direct-Repeat
chr15-72750918-72752256	chr15	72750918	72752256	MMC-seq	CircleSeeker	Direct-Repeat
chr6-4537994-4539882	chr6	4537994	4539882	MMC-seq	CircleSeeker	Other
chr9-141546769-141548396	chr9	141546769	141548396	MMC-seq	CircleSeeker	Direct-Repeat
chr9-104343997-104345840	chr9	104343997	104345840	MMC-seq	CircleSeeker	Other
chr4-91187732-91188530	chr4	91187732	91188530	MMC-seq	CircleSeeker	Other
chr11-122776835-122778391	chr11	122776835	122778391	MMC-seq	CircleSeeker	Other
chr10-32444108-32445259	chr10	32444108	32445259	MMC-seq	CircleSeeker	Other
chr11-4988736-4992190	chr11	4988736	4992190	MMC-seq	CircleSeeker	Other
chr12-23924326-23927690	chr12	23924326	23927690	MMC-seq	CircleSeeker	Other
chr14-66499739-66500873	chr14	66499739	66500873	MMC-seq	CircleSeeker	Other
chr9-143764836-143766788	chr9	143764836	143766788	MMC-seq	CircleSeeker	Other
chr6-19764526-19765935	chr6	19764526	19765935	MMC-seq	CircleSeeker	Other
chr16-75470373-75471544	chr16	75470373	75471544	MMC-seq	CircleSeeker	Direct-Repeat
chr6-36650510-36652669	chr6	36650510	36652669	MMC-seq	CircleSeeker	Other
chr3-13440304-13441519	chr3	13440304	13441519	MMC-seq	CircleSeeker	Direct-Repeat
chr17-83132227-83133823	chr17	83132227	83133823	MMC-seq	CircleSeeker	Other
